filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2025-08-06,2025-08-07 01:03:41+00:00,0000950103-25-010037,xslF345X05/dp232751_4-zuckerberg0805.xml,4,META
2025-08-06,2025-08-07 01:00:22+00:00,0000950103-25-010036,xslF345X05/dp232750_4-zuckerberg0804.xml,4,META
2025-08-06,2025-08-06 23:03:55+00:00,0000950103-25-010027,xslF345X05/dp232705_4-olivan.xml,4,META
2025-08-05,2025-08-05 22:37:47+00:00,0000950103-25-009976,xslF345X05/dp232458_4-andreessen.xml,4,META
2025-08-05,2025-08-05 22:36:33+00:00,0000950103-25-009975,xslF345X05/dp232584_4-alford.xml,4,META
2025-08-04,2025-08-04 22:41:44+00:00,0000950103-25-009864,xslF345X05/dp232583_4-zuckerberg0801.xml,4,META
2025-08-04,2025-08-04 22:39:13+00:00,0000950103-25-009863,xslF345X05/dp232582_4-zuckerberg0731.xml,4,META
2025-07-31,2025-07-31 22:46:48+00:00,0000950103-25-009651,xslF345X05/dp232340_4-newstead.xml,4,META
2025-07-30,2025-07-30 22:15:31+00:00,0000950103-25-009573,xslF345X05/dp232265_4-olivan.xml,4,META
2025-07-24,2025-07-24 22:35:56+00:00,0000950103-25-009255,xslF345X05/dp231968_4-newstead.xml,4,META
2025-07-23,2025-07-23 22:59:59+00:00,0000950103-25-009192,xslF345X05/dp231843_4-olivan.xml,4,META
2025-07-17,2025-07-17 22:35:27+00:00,0000950103-25-008957,xslF345X05/dp231648_4-kimmitt.xml,4,META
2025-07-17,2025-07-17 22:04:54+00:00,0000950103-25-008956,xslF345X05/dp231649_4-newstead.xml,4,META
2025-07-16,2025-07-16 22:33:00+00:00,0000950103-25-008895,xslF345X05/dp231647_4-olivan.xml,4,META
2025-07-10,2025-07-10 22:18:21+00:00,0000950103-25-008693,xslF345X05/dp231371_4-newstead.xml,4,META
2025-07-09,2025-07-09 22:21:26+00:00,0000950103-25-008624,xslF345X05/dp231339_4-olivan.xml,4,META
2025-07-03,2025-07-03 22:12:23+00:00,0000950103-25-008480,xslF345X05/dp231174_4-newstead.xml,4,META
2025-07-02,2025-07-03 00:36:09+00:00,0000950103-25-008410,xslF345X05/dp231177_4-zuckerberg0702.xml,4,META
2025-07-02,2025-07-03 00:32:38+00:00,0000950103-25-008409,xslF345X05/dp231176_4-zuckerberg0701.xml,4,META
2025-07-02,2025-07-03 00:31:46+00:00,0000950103-25-008408,xslF345X05/dp231175_4-zuckerberg0630.xml,4,META
2025-07-02,2025-07-02 22:43:17+00:00,0000950103-25-008406,xslF345X05/dp231090_4-olivan.xml,4,META
2025-06-30,2025-06-30 22:28:55+00:00,0000950103-25-008164,xslF345X05/dp230874_4-zuckerberg0627.xml,4,META
2025-06-30,2025-06-30 22:15:57+00:00,0000950103-25-008163,xslF345X05/dp230738_4-zuckerberg0626.xml,4,META
2025-06-26,2025-06-26 22:12:56+00:00,0000950103-25-007921,xslF345X05/dp230568_4-newstead.xml,4,META
2025-06-25,2025-06-26 00:30:31+00:00,0000950103-25-007850,xslF345X05/dp230631_4-zuckerberg0625.xml,4,META
2025-06-25,2025-06-26 00:30:02+00:00,0000950103-25-007849,xslF345X05/dp230612_4-zuckerberg0624.xml,4,META
2025-06-25,2025-06-25 22:19:57+00:00,0000950103-25-007836,xslF345X05/dp230480_4-olivan.xml,4,META
2025-06-23,2025-06-23 22:40:45+00:00,0000950103-25-007714,xslF345X05/dp230457_4-zuckerberg620.xml,4,META
2025-06-20,2025-06-20 22:08:07+00:00,0000950103-25-007680,xslF345X05/dp230356_4-newstead.xml,4,META
2025-06-18,2025-06-19 01:06:02+00:00,0000950103-25-007639,xslF345X05/dp230416_4-zuckerberg618.xml,4,META
2025-06-18,2025-06-19 01:03:41+00:00,0000950103-25-007638,xslF345X05/dp230343_4-zuckerberg617.xml,4,META
2025-06-18,2025-06-19 01:00:46+00:00,0000950103-25-007637,xslF345X05/dp230342_4-zuckerberg616.xml,4,META
2025-06-18,2025-06-19 00:44:44+00:00,0000950103-25-007635,xslF345X05/dp230350_4-white.xml,4,META
2025-06-18,2025-06-19 00:37:47+00:00,0000950103-25-007634,xslF345X05/dp2303451_4-xu.xml,4,META
2025-06-18,2025-06-19 00:35:57+00:00,0000950103-25-007633,xslF345X05/dp230348_4-tan.xml,4,META
2025-06-18,2025-06-19 00:35:39+00:00,0000950103-25-007632,xslF345X05/dp230349_4-travis.xml,4,META
2025-06-18,2025-06-19 00:33:40+00:00,0000950103-25-007631,xslF345X05/dp230332_4-powell.xml,4,META
2025-06-18,2025-06-19 00:33:16+00:00,0000950103-25-007630,xslF345X05/dp230329_4-alford.xml,4,META
2025-06-18,2025-06-19 00:33:08+00:00,0000950103-25-007629,xslF345X05/dp230330_4-kimmit.xml,4,META
2025-06-18,2025-06-19 00:31:07+00:00,0000950103-25-007628,xslF345X05/dp230336_4-houston.xml,4,META
2025-06-18,2025-06-19 00:30:13+00:00,0000950103-25-007627,xslF345X05/dp230335_4-collison.xml,4,META
2025-06-18,2025-06-19 00:26:39+00:00,0000950103-25-007626,xslF345X05/dp230337_4-elkann.xml,4,META
2025-06-18,2025-06-19 00:24:07+00:00,0000950103-25-007625,xslF345X05/dp230333_4-arnold.xml,4,META
2025-06-18,2025-06-19 00:23:48+00:00,0000950103-25-007624,xslF345X05/dp230334_4-killefer.xml,4,META
